epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1141.99,0.01671,1.77777,1.40045,0.72584,0.90616,0.90675,0.64858,0.01422,1.1333,1.16757,0.00194911,0.00194911,0.00194911
43,1168.81,0.01641,1.77803,1.3872,0.70791,0.88041,0.88744,0.6855,0.01133,1.13495,1.07082,0.00194662,0.00194662,0.00194662
44,1195.59,0.01654,1.74995,1.40786,0.66875,0.94489,0.87395,0.61501,0.01377,1.19783,1.1646,0.00194408,0.00194408,0.00194408
45,1222.49,0.01613,1.72107,1.37034,0.6683,0.97207,0.8954,0.65366,0.0145,1.15672,1.18165,0.00194147,0.00194147,0.00194147
46,1249.4,0.01654,1.72771,1.38458,0.64309,0.96082,0.87472,0.67395,0.01152,1.14032,1.06935,0.00193881,0.00193881,0.00193881
47,1276.2,0.01617,1.70882,1.3665,0.7338,0.91959,0.90898,0.67054,0.0133,1.08828,1.1225,0.00193609,0.00193609,0.00193609
48,1303.09,0.01626,1.68578,1.37158,0.70289,0.89485,0.88865,0.65103,0.01327,1.22374,1.12037,0.00193331,0.00193331,0.00193331
49,1329.95,0.01611,1.69317,1.36667,0.69418,0.91134,0.88874,0.62549,0.01453,1.18455,1.165,0.00193048,0.00193048,0.00193048
50,1356.71,0.01617,1.7147,1.37283,0.69647,0.89278,0.89324,0.61818,0.01477,1.17805,1.17474,0.00192759,0.00192759,0.00192759
51,1383.5,0.01601,1.69483,1.36252,0.69733,0.92784,0.9015,0.66097,0.01344,1.11952,1.11877,0.00192464,0.00192464,0.00192464
52,1410.2,0.01609,1.68435,1.37664,0.76543,0.78763,0.89708,0.6663,0.01335,1.17697,1.10631,0.00192164,0.00192164,0.00192164
53,1437.03,0.01597,1.6952,1.35935,0.6681,0.93798,0.88764,0.68087,0.01207,1.09821,1.06288,0.00191858,0.00191858,0.00191858
